# Created by CSS Data Browser Version 3.2.17.201410011619
# 
# Start Time : 2017/01/27 20:00:00.000000000
# End Time   : 2017/01/29 13:00:00.000000000
# Source     : Plot
# Format     : Decimal (4 digits)
# 
# Data is in TAB-delimited columns, should import into e.g. Excel

# Channel: uB_TPCDrift_HV01_keithleyPickOff/getVoltage
# Archives:
# 1) RDB2
#    URL: jdbc:postgresql://smc-priv/slowmoncon_archive
#    Key: 2
# 2) RDB
#    URL: jdbc:postgresql://near2-priv/slowmoncon_archive
#    Key: 1
# 
# Channel: uB_TPCDrift_HV01_keithleyCurrMon/getVoltage
# Archives:
# 1) RDB2
#    URL: jdbc:postgresql://smc-priv/slowmoncon_archive
#    Key: 2
# 2) RDB
#    URL: jdbc:postgresql://near2-priv/slowmoncon_archive
#    Key: 1
# 
# Channel: uB_TPCDrift_HV01_keithleyCurrMon/calcCurrent
# Archives:
# 1) RDB2
#    URL: jdbc:postgresql://smc-priv/slowmoncon_archive
#    Key: 2
# 2) RDB
#    URL: jdbc:postgresql://near2-priv/slowmoncon_archive
#    Key: 1
# 

Time	uB_TPCDrift_HV01_keithleyPickOff/getVoltage Value	uB_TPCDrift_HV01_keithleyCurrMon/getVoltage Value	uB_TPCDrift_HV01_keithleyCurrMon/calcCurrent Value
2017/01/27 23:19:24.000000000	-215.1448	0.0061	6.1687
2017/01/27 23:22:28.000000000	-216.4618	0.0060	6.0753
2017/01/27 23:25:32.000000000	-216.4687	0.0060	6.1417
2017/01/27 23:28:36.000000000	-216.3716	0.0060	6.1105
2017/01/27 23:31:40.000000000	-216.3676	0.0060	6.1396
2017/01/27 23:34:44.000000000	-216.3548	0.0060	6.0461
2017/01/27 23:37:48.000000000	-216.4157	0.0060	6.1535
2017/01/27 23:40:52.000000000	-216.5162	0.0060	6.1141
2017/01/27 23:43:56.000000000	-216.5050	0.0060	6.1435
2017/01/27 23:47:00.000000000	-216.5313	0.0060	6.1378
2017/01/27 23:50:04.000000000	-216.5356	0.0060	6.1025
2017/01/27 23:53:08.000000000	-216.5190	0.0060	6.1556
2017/01/27 23:56:12.000000000	-216.4775	0.0060	6.1307
2017/01/27 23:59:16.000000000	-216.5091	0.0060	6.1011
2017/01/28 00:02:20.000000000	-216.4948	0.0060	6.1568
2017/01/28 00:05:24.000000000	-216.5107	0.0060	6.0911
2017/01/28 00:08:28.000000000	-216.2988	0.0060	6.0961
2017/01/28 00:11:32.000000000	-215.0609	0.0060	6.1630
2017/01/28 00:14:36.000000000	-215.0027	0.0060	5.9775
2017/01/28 00:17:40.000000000	-214.9732	0.0060	6.0220
2017/01/28 00:20:44.000000000	-214.9051	0.0060	5.9964
2017/01/28 00:23:48.000000000	-215.3961	0.0060	6.3982
2017/01/28 00:26:52.000000000	-216.1561	0.0060	6.2803
2017/01/28 00:29:56.000000000	-215.2834	0.0060	6.0988
2017/01/28 00:33:00.000000000	-214.9200	0.0060	6.2780
2017/01/28 00:36:04.000000000	-214.9010	0.0060	6.1130
2017/01/28 00:39:08.000000000	-214.8978	0.0060	5.8842
2017/01/28 00:42:12.000000000	-214.9022	0.0060	6.1080
2017/01/28 00:45:16.000000000	-214.8969	0.0059	6.1608
2017/01/28 00:48:20.000000000	-214.8531	0.0060	6.1015
2017/01/28 00:51:24.000000000	-214.8742	0.0061	6.3220
2017/01/28 00:54:28.000000000	-214.9516	0.0060	5.7794
2017/01/28 00:57:32.000000000	-214.9210	0.0060	6.1772
2017/01/28 01:00:36.000000000	-215.8969	0.0060	6.2036
2017/01/28 01:03:40.000000000	-216.2889	0.0060	6.2274
2017/01/28 01:06:44.000000000	-214.9953	0.0060	6.2043
2017/01/28 01:09:48.000000000	-214.9012	0.0060	6.0380
2017/01/28 01:12:52.000000000	-214.8901	0.0060	5.7900
2017/01/28 01:15:56.000000000	-214.9046	0.0059	5.9181
2017/01/28 01:19:00.000000000	-214.9874	0.0060	5.9487
