# Created by CSS Data Browser Version 3.2.17.201410011619
# 
# Start Time : 2017/01/28 10:30:22.406000000
# End Time   : 2017/01/29 15:15:41.078000000
# Source     : Plot
# Format     : Decimal (4 digits)
# 
# Data is in TAB-delimited columns, should import into e.g. Excel

# Channel: uB_TPCDrift_HV01_keithleyPickOff/getVoltage
# Archives:
# 1) RDB2
#    URL: jdbc:postgresql://smc-priv/slowmoncon_archive
#    Key: 2
# 2) RDB
#    URL: jdbc:postgresql://near2-priv/slowmoncon_archive
#    Key: 1
# 
# Channel: uB_OnDetPower_TPCPS_1_1_0/CURR_READ
# Archives:
# 1) RDB2
#    URL: jdbc:postgresql://smc-priv/slowmoncon_archive
#    Key: 2
# 2) RDB
#    URL: jdbc:postgresql://near2-priv/slowmoncon_archive
#    Key: 1
# 

Time	uB_TPCDrift_HV01_keithleyPickOff/getVoltage Value	uB_OnDetPower_TPCPS_1_1_0/CURR_READ Value
2017/01/28 13:27:41.000000000	-216.6172	2.4901
2017/01/28 13:29:50.000000000	-216.5155	2.4901
2017/01/28 13:31:59.000000000	-216.5154	2.4930
2017/01/28 13:34:08.000000000	-216.5111	2.4919
2017/01/28 13:36:17.000000000	-216.5107	2.4919
2017/01/28 13:38:26.000000000	-216.5157	2.4919
2017/01/28 13:40:35.000000000	-216.5167	2.4939
2017/01/28 13:42:44.000000000	-216.5167	2.4922
2017/01/28 13:44:53.000000000	-216.5139	2.4922
2017/01/28 13:45:43.871375720	-216.5139	2.4902
2017/01/28 13:47:02.000000000	-216.5146	2.4902
2017/01/28 13:49:11.000000000	-216.5124	2.4902
2017/01/28 13:51:20.000000000	-216.5106	2.4902
2017/01/28 13:53:29.000000000	-216.5192	2.4902
2017/01/28 13:55:38.000000000	-216.5111	2.4902
2017/01/28 13:57:47.000000000	-216.5110	2.4902
2017/01/28 13:59:56.000000000	-216.5094	2.4902
2017/01/28 14:02:05.000000000	-216.5013	2.4902
2017/01/28 14:04:14.000000000	-214.8935	2.4902
2017/01/28 14:06:23.000000000	-214.8318	2.4902
2017/01/28 14:08:32.000000000	-214.8676	2.4902
