x0000,y0000
403,1021.5,
404,923.5,
405,849.5,
406,803.5,
407,781.5,
408,774.5,
409,771.5,
410,768.5,
411,767.5,
412,767.5,
413,769.5,
414,767.5,
415,764.5,
416,761.5,
417,761.5,
418,761.5,
419,760.5,
420,758.5,
421,758.5,
422,758.5,
423,758.5,
424,756.5,
425,754.5,
426,754.5,
427,753.5,
428,754.5,
429,751.5,
430,750.5,
431,748.5,
432,749.5,
433,748.5,
434,748.5,
435,746.5,
436,745.5,
437,744.5,
438,744.5,
439,743.5,
440,741.5,
441,742.5,
442,742.5,
443,742.5,
444,739.5,
445,738.5,
446,736.5,
447,735.5,
448,735.5,
449,733.5,
450,732.5,
451,732.5,
452,733.5,
453,732.5,
454,731.5,
455,730.5,
456,731.5,
457,729.5,
458,729.5,
459,728.5,
460,727.5,
461,726.5,
462,726.5,
463,725.5,
464,723.5,
465,723.5,
466,723.5,
467,722.5,
468,721.5,
469,720.5,
470,720.5,
471,721.5,
472,719.5,
473,718.5,
474,716.5,
475,715.5,
476,716.5,
477,715.5,
478,714.5,
479,713.5,
480,713.5,
481,712.5,
482,712.5,
483,711.5,
484,709.5,
485,708.5,
486,707.5,
487,707.5,
488,705.5,
489,705.5,
490,705.5,
491,706.5,
492,705.5,
493,704.5,
494,702.5,
495,702.5,
496,700.5,
497,700.5,
498,700.5,
499,699.5,
500,700.5,
501,700.5,
502,699.5,
503,697.5,
504,697.5,
505,695.5,
506,694.5,
507,693.5,
508,691.5,
509,690.5,
510,690.5,
511,690.5,
512,690.5,
513,689.5,
514,689.5,
515,688.5,
516,686.5,
517,684.5,
518,683.5,
519,683.5,
520,683.5,
521,682.5,
522,682.5,
523,682.5,
524,682.5,
525,683.5,
526,681.5,
527,680.5,
528,679.5,
529,678.5,
530,678.5,
531,677.5,
532,676.5,
533,675.5,
534,675.5,
535,676.5,
536,675.5,
537,674.5,
538,674.5,
539,673.5,
540,672.5,
541,672.5,
542,671.5,
543,670.5,
544,670.5,
545,669.5,
546,668.5,
547,667.5,
548,668.5,
549,667.5,
550,667.5,
551,666.5,
552,665.5,
553,664.5,
554,664.5,
555,663.5,
556,662.5,
557,661.5,
558,662.5,
559,659.5,
560,659.5,
561,659.5,
562,658.5,
563,657.5,
564,657.5,
565,655.5,
566,656.5,
567,656.5,
568,655.5,
569,654.5,
570,654.5,
571,653.5,
572,652.5,
573,652.5,
574,651.5,
575,651.5,
576,649.5,
577,648.5,
578,647.5,
579,647.5,
580,647.5,
581,645.5,
582,644.5,
583,645.5,
584,646.5,
585,644.5,
586,643.5,
587,643.5,
588,642.5,
589,642.5,
590,640.5,
591,640.5,
592,639.5,
593,639.5,
594,639.5,
595,639.5,
596,638.5,
597,637.5,
598,636.5,
599,635.5,
600,634.5,
601,633.5,
602,631.5,
603,632.5,
604,631.5,
605,631.5,
606,630.5,
607,629.5,
608,630.5,
609,630.5,
610,629.5,
611,628.5,
612,627.5,
613,626.5,
614,625.5,
615,624.5,
616,624.5,
617,623.5,
618,623.5,
619,623.5,
620,623.5,
621,622.5,
622,622.5,
623,621.5,
624,619.5,
625,618.5,
626,618.5,
627,618.5,
628,616.5,
629,615.5,
630,614.5,
631,614.5,
632,614.5,
633,614.5,
634,614.5,
635,613.5,
636,614.5,
637,613.5,
638,611.5,
639,612.5,
640,611.5,
641,611.5,
642,609.5,
643,609.5,
644,608.5,
645,607.5,
646,606.5,
647,606.5,
648,604.5,
649,604.5,
650,604.5,
651,602.5,
652,602.5,
653,602.5,
654,600.5,
655,600.5,
656,600.5,
657,600.5,
658,599.5,
659,598.5,
660,597.5,
661,595.5,
662,595.5,
663,593.5,
664,595.5,
665,593.5,
666,593.5,
667,593.5,
668,592.5,
669,591.5,
670,590.5,
671,589.5,
672,589.5,
673,588.5,
674,587.5,
675,586.5,
676,587.5,
677,587.5,
678,587.5,
679,587.5,
680,586.5,
681,585.5,
682,583.5,
683,583.5,
684,582.5,
685,581.5,
686,581.5,
687,579.5,
688,579.5,
689,579.5,
690,578.5,
691,578.5,
692,577.5,
693,577.5,
694,577.5,
695,576.5,
696,575.5,
697,575.5,
698,574.5,
699,572.5,
700,572.5,
701,571.5,
702,572.5,
703,571.5,
704,570.5,
705,570.5,
706,570.5,
707,569.5,
708,569.5,
709,567.5,
710,566.5,
711,565.5,
712,564.5,
713,564.5,
714,563.5,
715,561.5,
716,563.5,
717,563.5,
718,562.5,
719,561.5,
720,561.5,
721,560.5,
722,560.5,
723,558.5,
724,558.5,
725,558.5,
726,557.5,
727,556.5,
728,556.5,
729,555.5,
730,555.5,
731,554.5,
732,553.5,
733,553.5,
734,552.5,
735,551.5,
736,550.5,
737,549.5,
738,549.5,
739,549.5,
740,548.5,
741,547.5,
742,545.5,
743,545.5,
744,544.5,
745,544.5,
746,544.5,
747,543.5,
748,543.5,
749,543.5,
750,544.5,
751,544.5,
752,543.5,
753,542.5,
754,542.5,
755,541.5,
756,540.5,
757,538.5,
758,537.5,
759,537.5,
760,536.5,
761,535.5,
762,534.5,
763,535.5,
764,533.5,
765,535.5,
766,534.5,
767,533.5,
768,532.5,
769,531.5,
770,529.5,
771,530.5,
772,529.5,
773,529.5,
774,528.5,
775,529.5,
776,527.5,
777,526.5,
778,525.5,
779,525.5,
780,525.5,
781,525.5,
782,524.5,
783,524.5,
784,523.5,
785,523.5,
786,522.5,
787,521.5,
788,520.5,
789,519.5,
790,519.5,
791,520.5,
792,518.5,
793,518.5,
794,518.5,
795,517.5,
796,516.5,
797,516.5,
798,515.5,
799,514.5,
800,513.5,
801,512.5,
802,511.5,
803,510.5,
804,512.5,
805,511.5,
806,511.5,
807,510.5,
808,510.5,
809,508.5,
810,507.5,
811,506.5,
812,505.5,
813,505.5,
814,505.5,
815,504.5,
816,505.5,
817,502.5,
818,502.5,
819,502.5,
820,502.5,
821,501.5,
822,500.5,
823,499.5,
824,499.5,
825,499.5,
826,497.5,
827,496.5,
828,496.5,
829,497.5,
830,495.5,
831,493.5,
832,493.5,
833,493.5,
834,492.5,
835,492.5,
836,493.5,
837,492.5,
838,491.5,
839,491.5,
840,490.5,
841,488.5,
842,488.5,
843,488.5,
844,488.5,
845,488.5,
846,489.5,
847,488.5,
848,487.5,
849,486.5,
850,485.5,
851,484.5,
852,484.5,
853,483.5,
854,483.5,
855,483.5,
856,483.5,
857,481.5,
858,481.5,
859,480.5,
860,480.5,
861,480.5,
862,479.5,
863,479.5,
864,478.5,
865,477.5,
866,477.5,
867,476.5,
868,476.5,
869,476.5,
870,474.5,
871,474.5,
872,473.5,
873,473.5,
874,471.5,
875,471.5,
876,470.5,
877,469.5,
878,470.5,
879,469.5,
880,469.5,
881,469.5,
882,470.5,
883,470.5,
884,469.5,
885,468.5,
886,467.5,
887,466.5,
888,464.5,
889,463.5,
890,463.5,
891,464.5,
892,462.5,
893,462.5,
894,462.5,
895,460.5,
896,460.5,
897,462.5,
898,462.5,
899,461.5,
900,460.5,
901,459.5,
902,458.5,
903,457.5,
904,456.5,
905,456.5,
906,456.5,
907,456.5,
908,456.5,
909,455.5,
910,455.5,
911,455.5,
912,454.5,
913,454.5,
914,453.5,
915,454.5,
916,451.5,
917,450.5,
918,449.5,
919,449.5,
920,447.5,
921,447.5,
922,447.5,
923,448.5,
924,447.5,
925,448.5,
926,446.5,
927,445.5,
928,445.5,
929,443.5,
930,445.5,
931,444.5,
932,444.5,
933,443.5,
934,440.5,
935,437.5,
936,433.5,
937,431.5,
938,428.5,
939,427.5,
940,427.5,
941,426.5,
942,426.5,
943,425.5,
944,424.5,
945,421.5,
946,416.5,
947,409.5,
948,401.5,
949,393.5,
950,384.5,
951,379.5,
952,373.5,
953,369.5,
954,367.5,
955,363.5,
956,361.5,
957,356.5,
958,351.5,
959,347.5,
960,345.5,
961,344.5,
962,345.5,
963,347.5,
964,350.5,
965,350.5,
966,351.5,
967,351.5,
968,350.5,
969,350.5,
970,349.5,
971,349.5,
972,350.5,
973,350.5,
974,348.5,
975,347.5,
976,346.5,
977,345.5,
978,347.5,
979,347.5,
980,347.5,
981,347.5,
982,346.5,
983,348.5,
984,347.5,
985,347.5,
986,346.5,
987,345.5,
988,345.5,
989,346.5,
990,346.5,
991,345.5,
992,343.5,
993,342.5,
994,340.5,
995,341.5,
996,339.5,
997,339.5,
998,339.5,
999,339.5,
1000,338.5,
1001,337.5,
1002,335.5,
1003,335.5,
1004,335.5,
1005,334.5,
1006,335.5,
1007,335.5,
1008,336.5,
1009,336.5,
1010,335.5,
1011,335.5,
1012,334.5,
1013,335.5,
1014,333.5,
1015,333.5,
1016,333.5,
1017,333.5,
1018,331.5,
1019,332.5,
1020,331.5,
1021,331.5,
1022,331.5,
1023,330.5,
1024,331.5,
1025,330.5,
1026,330.5,
1027,328.5,
1028,327.5,
1029,325.5,
1030,326.5,
1031,325.5,
1032,325.5,
1033,324.5,
1034,324.5,
1035,326.5,
1036,327.5,
1037,327.5,
1038,327.5,
1039,325.5,
1040,324.5,
1041,323.5,
1042,323.5,
1043,322.5,
1044,321.5,
1045,321.5,
1046,320.5,
1047,322.5,
1048,321.5,
1049,321.5,
1050,321.5,
1051,319.5,
1052,320.5,
1053,319.5,
1054,319.5,
1055,317.5,
1056,315.5,
1057,315.5,
1058,314.5,
1059,314.5,
1060,315.5,
1061,316.5,
1062,316.5,
1063,315.5,
1064,314.5,
1065,313.5,
1066,314.5,
1067,314.5,
1068,315.5,
1069,314.5,
1070,313.5,
1071,314.5,
1072,312.5,
1073,311.5,
1074,310.5,
1075,310.5,
1076,309.5,
1077,308.5,
1078,308.5,
1079,310.5,
1080,310.5,
1081,311.5,
1082,309.5,
1083,308.5,
1084,308.5,
1085,308.5,
1086,308.5,
1087,308.5,
1088,307.5,
1089,306.5,
1090,305.5,
1091,306.5,
1092,305.5,
1093,305.5,
1094,304.5,
1095,304.5,
1096,302.5,
1097,304.5,
1098,303.5,
1099,303.5,
1100,303.5,
1101,302.5,
1102,302.5,
1103,301.5,
1104,300.5,
1105,300.5,
1106,299.5,
1107,299.5,
1108,300.5,
1109,300.5,
1110,300.5,
1111,299.5,
1112,299.5,
1113,299.5,
1114,298.5,
1115,298.5,
1116,299.5,
1117,298.5,
1118,298.5,
1119,298.5,
1120,296.5,
1121,296.5,
1122,296.5,
1123,294.5,
1124,295.5,
1125,294.5,
1126,293.5,
1127,293.5,
1128,292.5,
1129,291.5,
1130,290.5,
1131,291.5,
1132,291.5,
1133,291.5,
1134,292.5,
1135,291.5,
1136,291.5,
1137,290.5,
1138,288.5,
1139,287.5,
1140,287.5,
1141,287.5,
1142,287.5,
1143,288.5,
1144,288.5,
1145,289.5,
1146,288.5,
1147,288.5,
1148,287.5,
1149,286.5,
1150,286.5,
1151,284.5,
1152,282.5,
1153,281.5,
1154,281.5,
1155,282.5,
1156,282.5,
1157,282.5,
1158,282.5,
1159,281.5,
1160,280.5,
1161,280.5,
1162,280.5,
1163,280.5,
1164,279.5,
1165,278.5,
1166,278.5,
1167,278.5,
1168,278.5,
1169,277.5,
1170,277.5,
1171,276.5,
1172,275.5,
1173,274.5,
1174,272.5,
1175,273.5,
1176,273.5,
1177,272.5,
1178,273.5,
1179,273.5,
1180,272.5,
1181,271.5,
1182,271.5,
1183,272.5,
1184,271.5,
1185,270.5,
1186,270.5,
1187,271.5,
1188,270.5,
1189,270.5,
1190,270.5,
1191,268.5,
1192,267.5,
1193,266.5,
1194,266.5,
1195,267.5,
1196,266.5,
1197,269.5,
1198,269.5,
1199,268.5,
1200,268.5,
1201,267.5,
1202,267.5,
1203,266.5,
1204,265.5,
1205,265.5,
1206,265.5,
1207,265.5,
1208,265.5,
1209,264.5,
1210,265.5,
1211,264.5,
1212,262.5,
1213,262.5,
1214,262.5,
1215,261.5,
1216,261.5,
1217,260.5,
1218,260.5,
1219,258.5,
1220,259.5,
1221,258.5,
1222,258.5,
1223,259.5,
1224,259.5,
1225,258.5,
1226,258.5,
1227,257.5,
1228,257.5,
1229,257.5,
1230,257.5,
1231,258.5,
1232,258.5,
1233,258.5,
1234,257.5,
1235,256.5,
1236,257.5,
1237,255.5,
1238,254.5,
1239,253.5,
1240,251.5,
1241,250.5,
1242,249.5,
1243,249.5,
1244,249.5,
1245,250.5,
1246,251.5,
1247,250.5,
1248,250.5,
1249,251.5,
1250,251.5,
1251,251.5,
1252,251.5,
1253,250.5,
1254,250.5,
1255,249.5,
1256,250.5,
1257,249.5,
1258,249.5,
1259,247.5,
1260,247.5,
1261,245.5,
1262,246.5,
1263,245.5,
1264,248.5,
1265,246.5,
1266,244.5,
1267,246.5,
1268,246.5,
1269,246.5,
1270,246.5,
1271,245.5,
1272,244.5,
1273,242.5,
1274,242.5,
1275,240.5,
1276,241.5,
1277,240.5,
1278,242.5,
1279,241.5,
1280,239.5,
1281,239.5,
1282,240.5,
1283,239.5,
1284,239.5,
1285,238.5,
1286,237.5,
1287,236.5,
1288,236.5,
1289,237.5,
1290,237.5,
1291,237.5,
1292,236.5,
1293,237.5,
1294,236.5,
1295,237.5,
1296,237.5,
1297,235.5,
1298,236.5,
1299,237.5,
1300,236.5,
1301,235.5,
1302,234.5,
1303,234.5,
1304,233.5,
1305,234.5,
1306,235.5,
1307,234.5,
1308,235.5,
1309,233.5,
1310,233.5,
1311,232.5,
1312,232.5,
1313,233.5,
1314,232.5,
1315,231.5,
1316,229.5,
1317,229.5,
1318,229.5,
1319,228.5,
1320,228.5,
1321,227.5,
1322,229.5,
1323,229.5,
1324,228.5,
1325,228.5,
1326,228.5,
1327,228.5,
1328,228.5,
1329,228.5,
1330,227.5,
1331,228.5,
1332,228.5,
1333,227.5,
1334,226.5,
1335,226.5,
1336,225.5,
1337,227.5,
1338,225.5,
1339,225.5,
1340,224.5,
1341,224.5,
1342,223.5,
1343,223.5,
1344,222.5,
1345,221.5,
1346,221.5,
1347,223.5,
1348,224.5,
1349,223.5,
1350,222.5,
1351,220.5,
1352,220.5,
1353,219.5,
1354,218.5,
1355,219.5,
1356,217.5,
1357,218.5,
1358,220.5,
1359,219.5,
1360,218.5,
1361,217.5,
1362,218.5,
1363,216.5,
1364,217.5,
1365,216.5,
1366,217.5,
1367,217.5,
1368,216.5,
1369,216.5,
1370,216.5,
1371,215.5,
1372,215.5,
1373,215.5,
1374,213.5,
1375,212.5,
1376,213.5,
1377,213.5,
1378,213.5,
1379,214.5,
1380,212.5,
1381,212.5,
1382,211.5,
1383,211.5,
1384,212.5,
1385,211.5,
1386,210.5,
1387,210.5,
1388,210.5,
1389,208.5,
1390,210.5,
1391,209.5,
1392,208.5,
1393,209.5,
1394,209.5,
1395,209.5,
1396,209.5,
1397,208.5,
1398,207.5,
1399,207.5,
1400,205.5,
1401,207.5,
1402,206.5,
1403,207.5,
1404,207.5,
1405,206.5,
1406,205.5,
1407,205.5,
1408,205.5,
1409,204.5,
1410,204.5,
1411,205.5,
1412,204.5,
1413,203.5,
1414,203.5,
1415,202.5,
1416,201.5,
1417,200.5,
1418,199.5,
1419,200.5,
1420,200.5,
1421,200.5,
1422,199.5,
1423,199.5,
1424,198.5,
1425,197.5,
1426,196.5,
1427,196.5,
1428,198.5,
1429,197.5,
1430,197.5,
1431,196.5,
1432,196.5,
1433,197.5,
1434,196.5,
1435,197.5,
1436,197.5,
1437,196.5,
1438,194.5,
1439,194.5,
1440,195.5,
1441,194.5,
1442,194.5,
1443,193.5,
1444,195.5,
1445,195.5,
1446,195.5,
1447,194.5,
1448,194.5,
1449,193.5,
1450,193.5,
1451,191.5,
1452,190.5,
1453,190.5,
1454,190.5,
1455,190.5,
1456,190.5,
1457,191.5,
1458,190.5,
1459,191.5,
1460,190.5,
1461,190.5,
1462,190.5,
1463,190.5,
1464,190.5,
1465,188.5,
1466,187.5,
1467,186.5,
1468,186.5,
1469,185.5,
1470,186.5,
1471,186.5,
1472,185.5,
1473,184.5,
1474,185.5,
1475,187.5,
1476,187.5,
1477,186.5,
1478,185.5,
1479,184.5,
1480,184.5,
1481,184.5,
1482,185.5,
1483,184.5,
1484,184.5,
1485,182.5,
1486,183.5,
1487,182.5,
1488,183.5,
1489,182.5,
1490,181.5,
1491,181.5,
1492,180.5,
1493,180.5,
1494,178.5,
1495,178.5,
1496,178.5,
1497,179.5,
1498,180.5,
