# Created by CSS Data Browser Version 3.2.17.201410011619
# 
# Start Time : 2017/02/10 10:42:52.679545364
# End Time   : 2017/02/10 11:12:52.679552963
# Source     : Plot
# Format     : Exponential (4 digits)
# 
# Data is in TAB-delimited columns, should import into e.g. Excel

# Channel: uB_OnDetPower_TPCPS_2_7_604/CURR_READ
# Archives:
# 1) RDB2
#    URL: jdbc:postgresql://smc-priv/slowmoncon_archive
#    Key: 2
# 2) RDB
#    URL: jdbc:postgresql://near2-priv/slowmoncon_archive
#    Key: 1
# 
# Channel: uB_OnDetPower_TPCPS_2_7_604/SenseVOLT_READ
# Archives:
# 1) RDB2
#    URL: jdbc:postgresql://smc-priv/slowmoncon_archive
#    Key: 2
# 2) RDB
#    URL: jdbc:postgresql://near2-priv/slowmoncon_archive
#    Key: 1
# 

Time	uB_OnDetPower_TPCPS_2_7_604/CURR_READ Value	Negative Error	Positive Error	Severity	Status	uB_OnDetPower_TPCPS_2_7_604/SenseVOLT_READ Value	Negative Error	Positive Error	Severity	Status
2017/02/10 10:47:32.907833274	-1.1020E-9	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:47:33.708358452	3.6349E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:47:34.508773760	4.2862E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:47:35.509624571	4.8580E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:47:36.310145386	5.1990E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:47:37.110397438	5.4972E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:47:38.110887879	6.1335E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:47:38.911544376	5.9883E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:47:39.711928716	6.3012E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:47:40.712649907	6.0399E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:47:41.513516630	6.4291E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:47:42.313960535	6.3597E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:47:43.114785598	6.4768E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:47:44.115718257	6.9719E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:47:44.915999978	7.1398E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:47:45.716540162	7.7114E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:47:46.517412761	7.1363E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:47:47.517765840	7.2384E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:47:48.318661698	7.0278E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:47:49.119268559	6.9669E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
