x0000,y0000
0,0,
1,1,
2,0,
3,0,
4,0,
5,0,
6,1,
7,-1,
8,1,
9,-2,
10,1,
11,-2,
12,0,
13,0,
14,0,
15,2,
16,-2,
17,2,
18,-2,
19,1,
20,1,
21,0,
22,0,
23,-1,
24,2,
25,0,
26,2,
27,-1,
28,0,
29,-1,
30,1,
31,1,
32,1,
33,1,
34,0,
35,0,
36,-1,
37,1,
38,0,
39,1,
40,0,
41,0,
42,1,
43,-1,
44,1,
45,0,
46,1,
47,0,
48,1,
49,-2,
50,1,
51,-1,
52,0,
53,0,
54,-1,
55,1,
56,1,
57,1,
58,-1,
59,0,
60,-1,
61,0,
62,1,
63,1,
64,-1,
65,0,
66,1,
67,0,
68,0,
69,-1,
70,1,
71,1,
72,1,
73,1,
74,-1,
75,1,
76,0,
77,1,
78,1,
79,0,
80,0,
81,2,
82,0,
83,0,
84,-1,
85,-1,
86,1,
87,1,
88,1,
89,-2,
90,1,
91,0,
92,2,
93,-1,
94,-1,
95,2,
96,-1,
97,1,
98,-2,
99,1,
100,0,
101,1,
102,0,
103,2,
104,0,
105,-1,
106,1,
107,-2,
108,3,
109,-2,
110,0,
111,0,
112,3,
113,0,
114,1,
115,1,
116,0,
117,0,
118,0,
119,1,
120,-2,
121,2,
122,-2,
123,2,
124,0,
125,2,
126,1,
127,-2,
128,1,
129,0,
130,1,
131,1,
132,1,
133,0,
134,1,
135,2,
136,-1,
137,0,
138,0,
139,0,
140,0,
141,-2,
142,-1,
143,-1,
144,0,
145,1,
146,1,
147,1,
148,-1,
149,-1,
150,-1,
151,0,
152,1,
153,0,
154,0,
155,-2,
156,-1,
157,0,
158,1,
159,1,
160,0,
161,0,
162,-2,
163,-1,
164,0,
165,1,
166,-1,
167,1,
168,-1,
169,1,
170,0,
171,0,
172,1,
173,1,
174,0,
175,0,
176,0,
177,0,
178,0,
179,1,
180,1,
181,-1,
182,0,
183,-1,
184,0,
185,-1,
186,0,
187,-1,
188,2,
189,-1,
190,4,
191,-2,
192,3,
193,-2,
194,0,
195,0,
196,0,
197,2,
198,-1,
199,3,
200,-3,
201,4,
202,-3,
203,3,
204,-2,
205,1,
206,-1,
207,0,
208,2,
209,-2,
210,3,
211,-4,
212,3,
213,-2,
214,2,
215,0,
216,0,
217,2,
218,-2,
219,2,
220,-2,
221,3,
222,-2,
223,2,
224,-2,
225,0,
226,-1,
227,-1,
228,1,
229,-2,
230,3,
231,-3,
232,3,
233,-2,
234,1,
235,-1,
236,0,
237,2,
238,-2,
239,1,
240,-2,
241,3,
242,-1,
243,2,
244,0,
245,0,
246,0,
247,-1,
248,0,
249,-1,
250,2,
251,1,
252,2,
253,-2,
254,1,
255,1,
256,1,
257,1,
258,0,
259,1,
260,-1,
261,2,
262,-2,
263,1,
264,1,
265,1,
266,-1,
267,1,
268,0,
269,0,
270,1,
271,0,
272,2,
273,0,
274,1,
275,0,
276,0,
277,0,
278,1,
279,2,
280,0,
281,0,
282,0,
283,-1,
284,0,
285,2,
286,0,
287,0,
288,1,
289,2,
290,0,
291,0,
292,0,
293,-1,
294,0,
295,0,
296,0,
297,0,
298,0,
299,1,
300,1,
301,2,
302,0,
303,2,
304,1,
305,0,
306,-1,
307,0,
308,-2,
309,1,
310,0,
311,1,
312,0,
313,0,
314,0,
315,0,
316,2,
317,0,
318,1,
319,0,
320,-1,
321,-1,
322,-1,
323,1,
324,-1,
325,4,
326,-2,
327,3,
328,-3,
329,1,
330,-2,
331,0,
332,1,
333,0,
334,3,
335,-3,
336,5,
337,-5,
338,4,
339,-3,
340,4,
341,-1,
342,1,
343,0,
344,-1,
345,2,
346,-3,
347,4,
348,-3,
349,2,
350,-2,
351,3,
352,-2,
353,1,
354,0,
355,-2,
356,1,
357,-2,
358,2,
359,-2,
360,1,
361,-3,
362,1,
363,0,
364,0,
365,2,
366,-2,
367,1,
368,-3,
369,3,
370,-2,
371,2,
372,-1,
373,0,
374,-1,
375,-1,
376,0,
377,-1,
378,2,
379,-2,
380,2,
381,-1,
382,2,
383,-1,
384,2,
385,0,
386,0,
387,2,
388,0,
389,1,
390,-3,
391,1,
392,-1,
393,2,
394,-1,
395,2,
396,2,
397,-1,
398,1,
399,-1,
400,2,
401,0,
402,1,
403,1,
404,3,
405,-1,
406,0,
407,0,
408,0,
409,1,
410,0,
411,2,
412,-1,
413,2,
414,0,
415,1,
416,1,
417,-1,
418,1,
419,0,
420,2,
421,-1,
422,1,
423,0,
424,1,
425,0,
426,0,
427,0,
428,0,
429,0,
430,-2,
431,1,
432,0,
433,0,
434,0,
435,0,
436,1,
437,0,
438,-1,
439,-2,
440,1,
441,0,
442,-1,
443,0,
444,0,
445,0,
446,0,
447,-2,
448,1,
449,-1,
450,1,
451,-1,
452,1,
453,0,
454,1,
455,-1,
456,0,
457,2,
458,-1,
459,-1,
460,0,
461,1,
462,-1,
463,2,
464,-2,
465,-2,
466,1,
467,-2,
468,2,
469,1,
470,3,
471,-1,
472,0,
473,-1,
474,-1,
475,0,
476,-1,
477,2,
478,-2,
479,1,
480,-3,
481,1,
482,0,
483,3,
484,1,
485,0,
486,0,
487,-2,
488,2,
489,-2,
490,3,
491,-3,
492,0,
493,0,
494,1,
495,1,
496,1,
497,1,
498,-1,
499,1,
500,-2,
501,1,
502,-1,
503,2,
504,-1,
505,-1,
506,1,
507,0,
508,1,
509,-1,
510,2,
511,0,
512,2,
513,-1,
514,1,
515,1,
516,0,
517,0,
518,-3,
519,1,
520,-1,
521,0,
522,1,
523,2,
524,0,
525,1,
526,-1,
527,-1,
528,0,
529,-1,
530,1,
531,-1,
532,0,
533,1,
534,0,
535,1,
536,-1,
537,1,
538,0,
539,0,
540,-1,
541,1,
542,-1,
543,1,
544,-1,
545,0,
546,0,
547,1,
548,0,
549,-1,
550,1,
551,0,
552,0,
553,-1,
554,1,
555,-1,
556,1,
557,0,
558,2,
559,-1,
560,1,
561,-2,
562,0,
563,1,
564,1,
565,1,
566,-1,
567,0,
568,-1,
569,2,
570,0,
571,-1,
572,1,
573,0,
574,0,
575,-1,
576,2,
577,0,
578,0,
579,2,
580,1,
581,-1,
582,0,
583,1,
584,0,
585,-2,
586,0,
587,0,
588,0,
589,2,
590,-2,
591,2,
592,1,
593,2,
594,-2,
595,2,
596,0,
597,0,
598,0,
599,0,
600,1,
601,-1,
602,0,
603,2,
604,0,
605,3,
606,-1,
607,1,
608,-2,
609,1,
610,0,
611,-2,
612,-1,
613,-1,
614,1,
615,-2,
616,3,
617,-2,
618,3,
619,-2,
620,1,
621,-2,
622,1,
623,-2,
624,0,
625,0,
626,-4,
627,2,
628,-3,
629,3,
630,-2,
631,2,
632,-1,
633,0,
634,0,
635,-1,
636,0,
637,-1,
638,2,
639,-1,
640,1,
641,-1,
642,0,
643,-1,
644,0,
645,1,
646,1,
647,-1,
648,-2,
649,0,
650,-2,
651,1,
652,1,
653,1,
654,0,
655,0,
656,1,
657,-1,
658,1,
659,0,
660,2,
661,0,
662,0,
663,1,
664,-1,
665,0,
666,-1,
667,0,
668,3,
669,-3,
670,3,
671,-3,
672,3,
673,-1,
674,2,
675,0,
676,1,
677,3,
678,-2,
679,4,
680,-3,
681,3,
682,-2,
683,-1,
684,-1,
685,2,
686,1,
687,-2,
688,3,
689,-1,
690,2,
691,-1,
692,1,
693,-1,
694,2,
695,-2,
696,-1,
697,3,
698,-2,
699,3,
700,-3,
701,2,
702,-1,
703,3,
704,2,
705,-2,
706,3,
707,-3,
708,3,
709,-4,
710,3,
711,-2,
712,1,
713,0,
714,-1,
715,1,
716,-2,
717,3,
718,-2,
719,3,
720,-2,
721,3,
722,-2,
723,1,
724,-2,
725,2,
726,0,
727,0,
728,2,
729,0,
730,2,
731,0,
732,2,
733,-1,
734,0,
735,0,
736,1,
737,2,
738,-2,
739,3,
740,-1,
741,1,
742,-3,
743,2,
744,-1,
745,1,
746,1,
747,-1,
748,2,
749,-1,
750,2,
751,-1,
752,1,
753,-2,
754,0,
755,-1,
756,0,
757,1,
758,-2,
759,1,
760,-2,
761,2,
762,-2,
763,2,
764,0,
765,2,
766,-1,
767,-2,
768,3,
769,-3,
770,3,
771,-1,
772,-1,
773,0,
774,1,
775,2,
776,-1,
777,0,
778,-1,
779,0,
780,2,
781,1,
782,1,
783,1,
784,0,
785,1,
786,0,
787,0,
788,0,
789,0,
790,0,
791,-1,
792,-2,
793,-3,
794,-2,
795,-3,
796,-1,
797,-2,
798,0,
799,0,
800,0,
801,0,
802,1,
803,1,
804,1,
805,0,
806,-1,
807,0,
808,-1,
