x0000,y0000
0,0,
1,-2,
2,1,
3,-2,
4,0,
5,-1,
6,0,
7,-1,
8,0,
9,0,
10,-2,
11,3,
12,0,
13,3,
14,-1,
15,3,
16,-1,
17,1,
18,1,
19,0,
20,0,
21,0,
22,0,
23,-2,
24,2,
25,-2,
26,2,
27,-2,
28,0,
29,0,
30,-2,
31,0,
32,0,
33,1,
34,-1,
35,2,
36,-3,
37,0,
38,-1,
39,0,
40,0,
41,-1,
42,0,
43,0,
44,2,
45,1,
46,0,
47,-3,
48,1,
49,-1,
50,2,
51,1,
52,-1,
53,0,
54,-1,
55,0,
56,-2,
57,-1,
58,0,
59,0,
60,0,
61,2,
62,0,
63,-1,
64,-1,
65,-1,
66,1,
67,-1,
68,1,
69,-1,
70,-1,
71,-1,
72,1,
73,0,
74,1,
75,1,
76,0,
77,-1,
78,-1,
79,0,
80,0,
81,-1,
82,0,
83,1,
84,1,
85,0,
86,0,
87,-1,
88,0,
89,1,
90,-1,
91,-1,
92,0,
93,0,
94,-1,
95,2,
96,-1,
97,1,
98,1,
99,1,
100,-2,
101,-1,
102,1,
103,1,
104,1,
105,0,
106,-1,
107,0,
108,-1,
109,0,
110,0,
111,-2,
112,0,
113,0,
114,0,
115,1,
116,-2,
117,1,
118,-2,
119,1,
120,0,
121,-1,
122,-1,
123,-1,
124,1,
125,-1,
126,0,
127,-1,
128,-1,
129,-2,
130,1,
131,-1,
132,0,
133,-2,
134,1,
135,-4,
136,2,
137,-3,
138,2,
139,0,
140,1,
141,0,
142,0,
143,1,
144,-2,
145,1,
146,-1,
147,1,
148,-1,
149,1,
150,-1,
151,0,
152,1,
153,0,
154,0,
155,-1,
156,0,
157,-1,
158,0,
159,0,
160,1,
161,0,
162,0,
163,0,
164,0,
165,0,
166,-2,
167,1,
168,-1,
169,0,
170,-2,
171,0,
172,0,
173,0,
174,-1,
175,-2,
176,-1,
177,-1,
178,1,
179,1,
180,1,
181,-1,
182,-1,
183,-1,
184,1,
185,2,
186,-1,
187,-1,
188,-1,
189,-1,
190,-1,
191,0,
192,0,
193,1,
194,-1,
195,-2,
196,0,
197,-1,
198,0,
199,-1,
200,-2,
201,1,
202,-1,
203,2,
204,0,
205,0,
206,-2,
207,1,
208,0,
209,1,
210,0,
211,1,
212,1,
213,-1,
214,2,
215,-2,
216,2,
217,-1,
218,0,
219,-1,
220,-2,
221,0,
222,-3,
223,1,
224,-1,
225,0,
226,-3,
227,1,
228,-1,
229,1,
230,2,
231,-1,
232,1,
233,-2,
234,1,
235,-1,
236,3,
237,-1,
238,-2,
239,0,
240,0,
241,0,
242,-2,
243,2,
244,-2,
245,1,
246,-2,
247,0,
248,1,
249,1,
250,1,
251,-2,
252,0,
253,-1,
254,2,
255,0,
256,1,
257,0,
258,0,
259,3,
260,1,
261,-1,
262,-1,
263,2,
264,-2,
265,1,
266,0,
267,0,
268,-1,
269,-1,
270,0,
271,-2,
272,2,
273,-1,
274,2,
275,-2,
276,1,
277,-1,
278,0,
279,0,
280,3,
281,0,
282,-2,
283,1,
284,-2,
285,1,
286,-1,
287,1,
288,0,
289,0,
290,-1,
291,-1,
292,0,
293,-2,
294,1,
295,-1,
296,1,
297,-1,
298,-1,
299,-1,
300,-1,
301,0,
302,-3,
303,1,
304,-1,
305,1,
306,0,
307,0,
308,-1,
309,-1,
310,0,
311,1,
312,-3,
313,3,
314,-1,
315,0,
316,0,
317,-1,
318,2,
319,-1,
320,1,
321,-3,
322,3,
323,-4,
324,2,
325,0,
326,0,
327,2,
328,-2,
329,3,
330,-3,
331,0,
332,-2,
333,-1,
334,-2,
335,0,
336,0,
337,-1,
338,0,
339,-1,
340,2,
341,0,
342,1,
343,0,
344,-2,
345,2,
346,-1,
347,2,
348,-1,
349,2,
350,-3,
351,1,
352,-1,
353,3,
354,-1,
355,-1,
356,1,
357,-3,
358,3,
359,-2,
360,3,
361,-3,
362,0,
363,-2,
364,-1,
365,1,
366,-2,
367,2,
368,-1,
369,3,
370,-3,
371,3,
372,-3,
373,3,
374,-3,
375,1,
376,1,
377,-2,
378,0,
379,-3,
380,4,
381,-4,
382,4,
383,-3,
384,3,
385,-2,
386,4,
387,-2,
388,-1,
389,0,
390,0,
391,2,
392,-1,
393,1,
394,-2,
395,0,
396,-2,
397,2,
398,0,
399,2,
400,1,
401,-1,
402,0,
403,-1,
404,0,
405,-3,
406,1,
407,-2,
408,1,
409,0,
410,1,
411,0,
412,1,
413,1,
414,0,
415,2,
416,-1,
417,1,
418,-1,
419,0,
420,-1,
421,0,
422,-1,
423,0,
424,0,
425,0,
426,2,
427,0,
428,0,
429,-2,
430,0,
431,0,
432,0,
433,1,
434,0,
435,-2,
436,-1,
437,2,
438,-1,
439,-1,
440,0,
441,1,
442,-1,
443,0,
444,-1,
445,-1,
446,0,
447,-2,
448,-1,
449,0,
450,2,
451,-2,
452,1,
453,2,
454,-2,
455,-2,
456,1,
457,0,
458,1,
459,0,
460,-1,
461,2,
462,-2,
463,2,
464,-4,
465,1,
466,-2,
467,1,
468,0,
469,-2,
470,0,
471,-2,
472,4,
473,-3,
474,3,
475,-5,
476,4,
477,-3,
478,2,
479,-1,
480,2,
481,0,
482,-1,
483,1,
484,-2,
485,1,
486,-2,
487,4,
488,-2,
489,1,
490,-2,
491,0,
492,0,
493,0,
494,2,
495,-1,
496,0,
497,-3,
498,1,
499,-1,
500,2,
501,1,
502,0,
503,0,
504,-2,
505,1,
506,-1,
507,0,
508,-3,
509,1,
510,-2,
511,1,
512,-1,
513,0,
514,0,
515,0,
516,1,
517,-3,
518,1,
519,-1,
520,1,
521,-1,
522,0,
523,0,
524,-1,
525,1,
526,0,
527,0,
528,-1,
529,1,
530,-2,
531,1,
532,-1,
533,0,
534,0,
535,-1,
536,1,
537,-1,
538,2,
539,-1,
540,0,
541,-1,
542,0,
543,2,
544,-1,
545,1,
546,-2,
547,0,
548,-2,
549,0,
550,1,
551,0,
552,-1,
553,1,
554,0,
555,0,
556,-1,
557,-2,
558,1,
559,-1,
560,1,
561,-1,
562,0,
563,0,
564,-1,
565,0,
566,-1,
567,2,
568,0,
569,0,
570,-2,
571,1,
572,-3,
573,1,
574,1,
575,1,
576,1,
577,-2,
578,3,
579,-4,
580,4,
581,-3,
582,3,
583,-3,
584,0,
585,0,
586,-1,
587,2,
588,-3,
589,0,
590,-4,
591,1,
592,-2,
593,2,
594,-1,
595,0,
596,0,
597,-1,
598,1,
599,-1,
600,2,
601,-2,
602,2,
603,-1,
604,0,
605,-1,
606,0,
607,0,
608,-2,
609,2,
610,-1,
611,0,
612,-1,
613,3,
614,0,
615,1,
616,1,
617,-1,
618,-1,
619,-2,
620,1,
621,0,
622,1,
623,-1,
624,-1,
625,-2,
626,-2,
627,2,
628,-1,
629,0,
630,0,
631,1,
632,-1,
633,-1,
634,2,
635,-3,
636,1,
637,-1,
638,1,
639,-1,
640,2,
641,0,
642,0,
643,0,
644,-2,
645,2,
646,-2,
647,1,
648,-1,
649,1,
650,-2,
651,1,
652,-2,
653,0,
654,-1,
655,0,
656,2,
657,1,
658,1,
659,2,
660,-2,
661,1,
662,2,
663,-2,
664,3,
665,-4,
666,2,
667,-3,
668,1,
669,-2,
670,0,
671,-1,
672,-2,
673,0,
674,-2,
675,3,
676,-1,
677,3,
678,0,
679,2,
680,0,
681,1,
682,2,
683,-1,
684,-1,
685,-1,
686,1,
687,-2,
688,0,
689,-2,
690,-1,
691,1,
692,2,
693,-1,
694,1,
695,-1,
696,1,
697,2,
698,-1,
699,3,
700,-2,
701,2,
702,-1,
703,0,
704,-1,
705,-1,
706,1,
707,-3,
708,2,
709,-1,
710,2,
711,-1,
712,1,
713,1,
714,1,
715,2,
716,-1,
717,1,
718,-2,
719,1,
720,-1,
721,-1,
722,0,
723,-1,
724,2,
725,-4,
726,6,
727,-4,
728,4,
729,-4,
730,4,
731,-3,
732,2,
733,-1,
734,-1,
735,-1,
736,-4,
737,1,
738,-3,
739,3,
740,-3,
741,2,
742,-2,
743,0,
744,1,
745,-2,
746,2,
747,-2,
748,2,
749,-3,
750,2,
751,-2,
752,0,
753,-1,
754,1,
755,1,
756,-1,
757,2,
758,-2,
759,1,
760,-1,
761,1,
762,-1,
763,-2,
764,0,
765,0,
766,1,
767,0,
768,1,
769,-2,
770,2,
771,-2,
772,2,
773,-1,
774,1,
775,0,
776,-2,
777,1,
778,-2,
779,1,
780,-1,
781,2,
782,-2,
783,1,
784,0,
785,0,
786,0,
787,1,
788,0,
789,-1,
790,-1,
791,1,
792,-3,
793,2,
794,2,
795,0,
796,2,
797,-4,
798,5,
799,-4,
800,3,
801,-3,
802,0,
803,4,
804,-2,
805,4,
806,-4,
807,4,
808,-5,
809,5,
810,-2,
811,0,
812,1,
813,-3,
814,3,
815,-3,
816,5,
817,-3,
818,2,
819,-2,
820,1,
821,-1,
822,-1,
823,0,
824,-2,
825,2,
826,0,
827,4,
828,-4,
829,2,
830,-2,
831,1,
832,0,
833,-1,
834,1,
835,0,
836,2,
837,-2,
838,2,
839,-2,
840,-1,
841,-2,
842,-1,
843,-1,
844,-2,
845,1,
846,-2,
847,2,
848,-2,
849,4,
850,0,
851,1,
852,1,
853,0,
854,0,
855,-1,
856,1,
857,-3,
858,2,
859,-3,
860,2,
861,-2,
862,0,
863,-1,
864,0,
865,0,
866,0,
867,1,
868,-2,
869,0,
870,1,
871,0,
872,1,
873,1,
874,-2,
875,-1,
876,-1,
877,-1,
878,0,
879,-1,
880,0,
881,1,
882,0,
883,0,
884,0,
885,-1,
886,-2,
887,0,
888,0,
889,1,
890,0,
891,-1,
892,0,
893,1,
894,1,
895,-1,
896,0,
897,0,
898,2,
899,-1,
900,0,
901,-1,
902,0,
903,-2,
904,-1,
905,1,
906,0,
907,0,
908,1,
909,2,
910,-1,
911,0,
912,-2,
913,2,
914,0,
915,-1,
916,-1,
917,-1,
918,0,
919,0,
920,0,
921,-2,
922,0,
923,-2,
924,0,
925,1,
926,3,
927,0,
928,1,
929,1,
930,0,
931,0,
932,0,
933,1,
934,-1,
935,1,
936,-1,
937,1,
938,1,
939,0,
940,-1,
941,-4,
942,0,
943,0,
944,2,
945,-1,
946,1,
947,1,
948,0,
949,-2,
950,-1,
951,-1,
952,0,
953,0,
954,-1,
955,0,
