x0000,y0000
0,-12,
1,10,
2,-5,
3,9,
4,-6,
5,11,
6,-13,
7,8,
8,-3,
9,1,
10,11,
11,-14,
12,19,
13,-26,
14,31,
15,-26,
16,25,
17,-19,
18,13,
19,-4,
20,8,
21,4,
22,-17,
23,25,
24,-21,
25,22,
26,-20,
27,18,
28,-11,
29,9,
30,1,
31,-8,
32,21,
33,-25,
34,25,
35,-21,
36,18,
37,-11,
38,3,
39,7,
40,-10,
41,16,
42,-16,
43,22,
44,-22,
45,14,
46,-10,
47,13,
48,-13,
49,12,
50,-2,
51,-5,
52,7,
53,-7,
54,13,
55,-13,
56,18,
57,-15,
58,7,
59,-5,
60,8,
61,-4,
62,1,
63,7,
64,-9,
65,9,
66,-3,
67,3,
68,3,
69,-6,
70,8,
71,-8,
72,11,
73,-13,
74,16,
75,-7,
76,7,
77,-3,
78,3,
79,5,
80,-5,
81,5,
82,-4,
83,9,
84,-10,
85,15,
86,-14,
87,15,
88,-16,
89,17,
90,0,
91,-8,
92,14,
93,-24,
94,33,
95,-35,
96,41,
97,-39,
98,34,
99,-20,
100,8,
101,6,
102,-20,
103,32,
104,-29,
105,26,
106,-31,
107,38,
108,-30,
109,17,
110,-4,
111,-1,
112,9,
113,-13,
114,20,
115,-18,
116,20,
117,-24,
118,36,
119,-37,
120,34,
121,-25,
122,21,
123,-10,
124,0,
125,6,
126,-12,
127,17,
128,-12,
129,9,
130,-5,
131,2,
132,5,
133,-10,
134,14,
135,-15,
136,15,
137,-4,
138,2,
139,4,
140,-7,
141,8,
142,-1,
143,1,
144,7,
145,-7,
146,3,
147,7,
148,-6,
149,7,
150,-4,
151,5,
152,-8,
153,5,
154,1,
155,3,
156,-4,
157,1,
158,7,
159,-8,
160,9,
161,-8,
162,19,
163,-16,
164,15,
165,-13,
166,19,
167,-12,
168,0,
169,6,
170,-3,
171,4,
172,-4,
173,13,
174,-16,
175,18,
176,-15,
177,19,
178,-17,
179,13,
180,-5,
181,1,
182,8,
183,-11,
184,15,
185,-7,
186,-4,
187,25,
188,-34,
189,43,
190,-37,
191,23,
192,-4,
193,-20,
194,46,
195,-55,
196,66,
197,-73,
198,80,
199,-73,
200,65,
201,-50,
202,36,
203,-11,
204,-10,
205,34,
206,-50,
207,68,
208,-69,
209,65,
210,-53,
211,44,
212,-37,
213,21,
214,11,
215,-33,
216,46,
217,-52,
218,55,
219,-49,
220,42,
221,-19,
222,6,
223,1,
224,-16,
225,42,
226,-51,
227,55,
228,-53,
229,51,
230,-43,
231,35,
232,-23,
233,9,
234,17,
235,-32,
236,37,
237,-34,
238,36,
239,-31,
240,31,
241,-24,
242,18,
243,-8,
244,1,
245,10,
246,-14,
247,23,
248,-30,
249,26,
250,-19,
251,19,
252,-7,
253,-3,
254,16,
255,-24,
256,30,
257,-30,
258,34,
259,-32,
260,31,
261,-27,
262,26,
263,-15,
264,9,
265,2,
266,-9,
267,15,
268,-15,
269,17,
270,-19,
271,22,
272,-16,
273,16,
274,-14,
275,9,
276,5,
277,-12,
278,16,
279,-9,
280,9,
281,-13,
282,23,
283,-15,
284,8,
285,-6,
286,5,
287,-1,
288,-2,
289,10,
290,-8,
291,7,
292,-1,
293,2,
294,-2,
295,4,
296,-1,
297,6,
298,-2,
299,2,
300,0,
301,0,
302,3,
303,-3,
304,14,
305,-15,
306,13,
307,-6,
308,5,
309,-3,
310,4,
311,1,
312,-5,
313,9,
314,-3,
315,10,
316,-7,
317,6,
318,-2,
319,4,
320,0,
321,1,
322,3,
323,-5,
324,16,
325,-26,
326,31,
327,-17,
328,-2,
329,25,
330,-46,
331,68,
332,-80,
333,87,
334,-87,
335,92,
336,-85,
337,69,
338,-46,
339,27,
340,1,
341,-28,
342,51,
343,-68,
344,82,
345,-78,
346,74,
347,-62,
348,49,
349,-30,
350,16,
351,5,
352,-21,
353,33,
354,-39,
355,49,
356,-53,
357,50,
358,-37,
359,29,
360,-12,
361,-2,
362,19,
363,-30,
364,42,
365,-44,
366,52,
367,-53,
368,52,
369,-38,
370,20,
371,4,
372,-18,
373,33,
374,-39,
375,42,
376,-43,
377,42,
378,-33,
379,23,
380,-12,
381,6,
382,11,
383,-17,
384,26,
385,-33,
386,35,
387,-34,
388,35,
389,-25,
390,25,
391,-19,
392,14,
393,-1,
394,-8,
395,13,
396,-19,
397,24,
398,-22,
399,25,
400,-18,
401,12,
402,1,
403,-5,
404,7,
405,-13,
406,21,
407,-23,
408,22,
409,-15,
410,15,
411,-12,
412,2,
413,11,
414,-13,
415,17,
416,-16,
417,15,
418,-12,
419,10,
420,-7,
421,9,
422,-7,
423,1,
424,12,
425,-12,
426,14,
427,-14,
428,16,
429,-10,
430,11,
431,-10,
432,4,
433,7,
434,-7,
435,8,
436,-10,
437,17,
438,-9,
439,4,
440,-6,
441,8,
442,-8,
443,12,
444,-4,
445,3,
446,-5,
447,13,
448,-13,
449,14,
450,-15,
451,12,
452,-13,
453,9,
454,3,
455,-11,
456,18,
457,-17,
458,19,
459,-18,
460,19,
461,-10,
462,1,
463,-1,
464,4,
465,10,
466,-21,
467,31,
468,-29,
469,25,
470,-14,
471,-1,
472,22,
473,-30,
474,42,
475,-46,
476,46,
477,-46,
478,45,
479,-35,
480,23,
481,-8,
482,-5,
483,17,
484,-23,
485,36,
486,-39,
487,41,
488,-33,
489,29,
490,-20,
491,8,
492,7,
493,-12,
494,21,
495,-27,
496,29,
497,-28,
498,29,
499,-25,
500,20,
501,-13,
502,7,
503,0,
504,-3,
505,11,
506,-12,
507,17,
508,-19,
509,23,
510,-21,
511,17,
512,-12,
513,12,
514,-3,
515,-5,
516,14,
517,-19,
518,21,
519,-15,
520,14,
521,-9,
522,10,
523,-4,
524,-3,
525,7,
526,-6,
527,7,
528,-5,
529,3,
530,1,
531,-2,
532,5,
533,2,
534,1,
535,-1,
536,5,
537,-4,
538,3,
539,-2,
540,11,
541,-5,
542,-2,
543,0,
544,4,
545,2,
546,-4,
547,3,
548,1,
549,4,
550,-10,
551,16,
552,-13,
553,12,
554,-9,
555,5,
556,0,
557,2,
558,-5,
559,11,
560,-9,
561,11,
562,-2,
563,-7,
564,14,
565,-18,
566,24,
567,-20,
568,17,
569,-12,
570,8,
571,2,
572,-7,
573,12,
574,-10,
575,9,
576,-7,
577,8,
578,-4,
579,0,
580,4,
581,-2,
582,2,
583,-1,
584,6,
585,-5,
586,4,
587,-6,
588,21,
589,-25,
590,28,
591,-24,
592,24,
593,-20,
594,9,
595,6,
596,-13,
597,27,
598,-41,
599,53,
600,-52,
601,48,
602,-29,
603,7,
604,12,
605,-24,
606,32,
607,-23,
608,11,
609,12,
610,-29,
611,43,
612,-50,
613,56,
614,-54,
615,50,
616,-42,
617,37,
618,-25,
619,16,
620,1,
621,-19,
622,30,
623,-33,
624,39,
625,-37,
626,40,
627,-41,
628,42,
629,-32,
630,25,
631,-10,
632,2,
633,11,
634,-18,
635,26,
636,-24,
637,27,
638,-24,
639,18,
640,-10,
641,-1,
642,12,
643,-12,
644,15,
645,-14,
646,12,
647,-8,
648,10,
649,-2,
650,3,
651,1,
652,0,
653,7,
654,-5,
655,7,
656,-3,
657,5,
658,-5,
659,3,
660,4,
661,-4,
662,4,
663,6,
664,-19,
665,33,
666,-29,
667,26,
668,-27,
669,32,
670,-23,
671,6,
672,11,
673,-19,
674,31,
675,-46,
676,63,
677,-63,
678,55,
679,-44,
680,37,
681,-16,
682,-5,
683,23,
684,-29,
685,41,
686,-47,
687,52,
688,-43,
689,36,
690,-26,
691,21,
692,-14,
693,3,
694,12,
695,-23,
696,32,
697,-35,
698,38,
699,-30,
700,9,
701,19,
702,-34,
703,49,
704,-60,
705,74,
706,-76,
707,75,
708,-57,
709,37,
710,-11,
711,-10,
712,36,
