# Created by CSS Data Browser Version 3.2.17.201410011619
# 
# Start Time : 2017/02/24 10:10:54.038555704
# End Time   : 2017/02/24 10:40:54.038568049
# Source     : Plot
# Format     : Decimal (4 digits)
# 
# Data is in TAB-delimited columns, should import into e.g. Excel

# Channel: uB_OnDetPower_TPCPS_2_7_604/CURR_READ
# Archives:
# 1) RDB2
#    URL: jdbc:postgresql://smc-priv/slowmoncon_archive
#    Key: 2
# 2) RDB
#    URL: jdbc:postgresql://near2-priv/slowmoncon_archive
#    Key: 1
# 
# Channel: uB_OnDetPower_TPCPS_2_7_604/SenseVOLT_READ
# Archives:
# 1) RDB2
#    URL: jdbc:postgresql://smc-priv/slowmoncon_archive
#    Key: 2
# 2) RDB
#    URL: jdbc:postgresql://near2-priv/slowmoncon_archive
#    Key: 1
# 
# Channel: uB_TPCDrift_HV01_keithleyPickOff/getVoltage
# Archives:
# 1) RDB2
#    URL: jdbc:postgresql://smc-priv/slowmoncon_archive
#    Key: 2
# 2) RDB
#    URL: jdbc:postgresql://near2-priv/slowmoncon_archive
#    Key: 1
# 
# Channel: R (Gigaohms(
# 

Time	uB_OnDetPower_TPCPS_2_7_604/CURR_READ Value	uB_OnDetPower_TPCPS_2_7_604/SenseVOLT_READ Value	uB_TPCDrift_HV01_keithleyPickOff/getVoltage Value	R (Gigaohms( Value
2017/02/24 10:12:15.707700854	-0.0000	-33.4043	-0.0056	0.0542
2017/02/24 10:12:16.207878914	-0.0000	-42.1712	-0.0056	0.0684
2017/02/24 10:12:16.213173855	-0.0000	-42.1712	-0.0056	0.0685
2017/02/24 10:12:16.522056767	-0.0000	-42.1712	-0.0085	0.0685
2017/02/24 10:12:17.013615304	-0.0000	-42.1712	-0.0085	0.0686
2017/02/24 10:12:17.207747827	-0.0000	-50.0867	-0.0085	0.0814
2017/02/24 10:12:17.522881353	-0.0000	-50.0867	-0.0124	0.0814
2017/02/24 10:12:17.813873655	-0.0000	-50.0867	-0.0124	0.0814
2017/02/24 10:12:18.208274298	-0.0000	-50.1156	-0.0124	0.0815
2017/02/24 10:12:18.521869007	-0.0000	-50.1156	-0.0170	0.0815
2017/02/24 10:12:18.707995129	-0.0000	-50.1211	-0.0170	0.0815
2017/02/24 10:12:18.813900843	-0.0000	-50.1211	-0.0170	0.0815
2017/02/24 10:12:19.520657940	-0.0000	-50.1211	-0.0221	0.0815
2017/02/24 10:12:19.614525681	-0.0000	-50.1211	-0.0221	13.3604
2017/02/24 10:12:19.708291920	-0.0000	-50.1221	-0.0221	13.3606
2017/02/24 10:12:20.414567873	-0.0000	-50.1221	-0.0221	13.8519
2017/02/24 10:12:20.517894643	-0.0000	-50.1221	-0.0277	13.8519
2017/02/24 10:12:20.708353569	-0.0000	-50.1239	-0.0277	13.8524
2017/02/24 10:12:21.415361122	-0.0000	-50.1239	-0.0277	13.9420
2017/02/24 10:12:21.520104709	-0.0000	-50.1239	-0.0335	13.9420
2017/02/24 10:12:21.708866211	-0.0000	-50.1234	-0.0335	13.9419
2017/02/24 10:12:22.215514875	-0.0000	-50.1234	-0.0335	14.1773
2017/02/24 10:12:22.526070620	-0.0000	-50.1234	-0.0396	14.1773
2017/02/24 10:12:23.016198564	-0.0000	-50.1234	-0.0396	14.4485
