x0000,y0000
0,-7,
1,8,
2,-6,
3,8,
4,-5,
5,4,
6,1,
7,0,
8,5,
9,-7,
10,11,
11,-12,
12,14,
13,-13,
14,13,
15,-8,
16,8,
17,-3,
18,3,
19,3,
20,-1,
21,5,
22,-6,
23,12,
24,-7,
25,8,
26,-4,
27,7,
28,0,
29,-2,
30,4,
31,-4,
32,8,
33,-9,
34,12,
35,-8,
36,5,
37,0,
38,-2,
39,8,
40,-8,
41,12,
42,-10,
43,10,
44,-7,
45,6,
46,-1,
47,4,
48,-3,
49,1,
50,1,
51,-1,
52,7,
53,-6,
54,9,
55,-9,
56,10,
57,-7,
58,5,
59,0,
60,4,
61,-2,
62,1,
63,4,
64,-4,
65,4,
66,-4,
67,2,
68,3,
69,1,
70,4,
71,-4,
72,6,
73,-4,
74,8,
75,-4,
76,1,
77,2,
78,0,
79,4,
80,-5,
81,6,
82,-2,
83,4,
84,-3,
85,9,
86,-7,
87,7,
88,-2,
89,1,
90,5,
91,-8,
92,16,
93,-15,
94,15,
95,-17,
96,16,
97,-9,
98,8,
99,1,
100,-6,
101,11,
102,-14,
103,20,
104,-15,
105,9,
106,-9,
107,12,
108,-8,
109,4,
110,4,
111,-1,
112,7,
113,-9,
114,17,
115,-15,
116,13,
117,-11,
118,18,
119,-16,
120,13,
121,-6,
122,2,
123,1,
124,-5,
125,10,
126,-6,
127,7,
128,-6,
129,4,
130,0,
131,-3,
132,4,
133,-7,
134,8,
135,-6,
136,6,
137,0,
138,-2,
139,2,
140,1,
141,0,
142,-1,
143,-1,
144,4,
145,-3,
146,1,
147,1,
148,1,
149,0,
150,1,
151,3,
152,2,
153,-1,
154,3,
155,-3,
156,2,
157,-3,
158,9,
159,-5,
160,5,
161,-5,
162,7,
163,-3,
164,6,
165,-6,
166,9,
167,-5,
168,0,
169,4,
170,-4,
171,4,
172,-7,
173,8,
174,-8,
175,9,
176,-8,
177,7,
178,-4,
179,6,
180,-1,
181,1,
182,5,
183,-4,
184,9,
185,-3,
186,2,
187,2,
188,-8,
189,11,
190,-4,
191,-2,
192,11,
193,-17,
194,30,
195,-33,
196,34,
197,-35,
198,35,
199,-32,
200,23,
201,-9,
202,-2,
203,15,
204,-27,
205,34,
206,-32,
207,33,
208,-29,
209,25,
210,-16,
211,11,
212,-3,
213,-6,
214,17,
215,-23,
216,27,
217,-22,
218,20,
219,-18,
220,9,
221,3,
222,-12,
223,18,
224,-22,
225,28,
226,-28,
227,22,
228,-19,
229,14,
230,-13,
231,5,
232,5,
233,-9,
234,15,
235,-20,
236,21,
237,-18,
238,16,
239,-9,
240,8,
241,-3,
242,1,
243,5,
244,-7,
245,10,
246,-10,
247,11,
248,-7,
249,10,
250,-8,
251,2,
252,6,
253,-5,
254,11,
255,-16,
256,19,
257,-14,
258,16,
259,-13,
260,12,
261,-7,
262,4,
263,0,
264,-3,
265,6,
266,-9,
267,13,
268,-10,
269,9,
270,-8,
271,9,
272,-2,
273,0,
274,2,
275,2,
276,6,
277,-8,
278,11,
279,-8,
280,8,
281,-7,
282,7,
283,-5,
284,4,
285,2,
286,0,
287,5,
288,-3,
289,8,
290,-8,
291,4,
292,-1,
293,-1,
294,-2,
295,1,
296,4,
297,0,
298,0,
299,1,
300,-1,
301,0,
302,4,
303,-3,
304,5,
305,-6,
306,4,
307,-2,
308,2,
309,-1,
310,2,
311,6,
312,-4,
313,7,
314,-3,
315,5,
316,0,
317,-1,
318,1,
319,2,
320,2,
321,-1,
322,1,
323,4,
324,-1,
325,-2,
326,1,
327,3,
328,-10,
329,22,
330,-33,
331,41,
332,-43,
333,42,
334,-32,
